Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
,,,,,
,,,,,
Banco Central de Honduras,,,,,
Departamento de Operaciones Cambiarias,,,,,
"Ingresos por Remesas Familiares, Según  Municipio, 2020-2025",,,,,
(en USD),,,,,
,,,,,
AÑO,Mes,Departamento,Municipio,Monto,Beneficiario 
2020,Enero,Intibucá,San Juan,22012.84,50
2020,Enero,Intibucá,Intibuca,1462.85,6
2020,Enero,Intibucá,Yamaranguila,1240.1,3
2020,Enero,Intibucá,Colomoncagua,502.22,2
2020,Enero,Intibucá,San Antonio,425.68,1
2020,Enero,Intibucá,Masaguara,349.27,2
2020,Enero,Intibucá,Concepcion,243.39,2
2020,Enero,Islas de la Bahía,Roatan,1668258.66,4176
2020,Enero,Islas de la Bahía,Jose Santos Guardiola,199.61,1
2020,Enero,Gracias a Dios,Puerto Lempira,1600602.17,1919
2020,Enero,Lempira,Gracias,1377131.610000001,3455
2020,Enero,Lempira,Lepaera,103031.59,462
2020,Enero,Lempira,La Virtud,2046.28,4
2020,Enero,Lempira,Gualcinse,1350.01,1
2020,Enero,Lempira,San Francisco,1150,2
2020,Enero,Lempira,Cololaca,1077.48,1
2020,Enero,Lempira,San Juan Guarita,983.99,1
2020,Enero,Lempira,Talgua,811.24,1
2020,Enero,Lempira,Erandique,698.6,2
2020,Enero,Lempira,La Union,170,1
2020,Enero,Lempira,La Iguala,155.18,1
2020,Enero,Lempira,San Rafael,55,1
2020,Enero,Lempira,Virginia,50.01,1
2020,Enero,La Paz,La Paz,987527.06,2278
2020,Enero,La Paz,Marcala,349470.73,1475
2020,Enero,La Paz,Santa Maria,1796.36,1
2020,Enero,La Paz,Santiago Puringla,1399,14
2020,Enero,La Paz,Santa Ana,1167.97,2
2020,Enero,La Paz,Cabañas,1097.8,1
2020,Enero,La Paz,Aguanqueterique,600,1
2020,Enero,La Paz,Lauterique,467.02,2
2020,Enero,La Paz,Chinacla,350.01,1
2020,Enero,La Paz,Yarula,198.2,2
2020,Enero,La Paz,San Jose,99.82,1
2020,Enero,La Paz,Mercedes de Oriente,99.79,1
2020,Enero,La Paz,San Antonio del Norte,50,1
2025,Julio,Francisco Morazán,Distrito Central,647053000.0000001,827655
2020,Febrero,Francisco Morazán,Talanga,970002.0199999999,3492
2020,Febrero,Francisco Morazán,Guaimaca,680280.92,2470
2020,Febrero,Francisco Morazán,Alubaren,137790.51,589
2020,Febrero,Francisco Morazán,Villa de San Francisco,97598.66,282
2020,Febrero,Francisco Morazán,Valle de Angeles,61114.38,230
2020,Febrero,Francisco Morazán,Maraita,3916.57,3
2020,Febrero,Francisco Morazán,Sabana Grande,3464.87,5
2020,Febrero,Francisco Morazán,San Antonio de Oriente,3135.47,23
2020,Febrero,Francisco Morazán,Nueva Armenia,2396.06,3
2020,Febrero,Francisco Morazán,La Venta,2299,4
2020,Febrero,Francisco Morazán,San Juan de Flores,2240.42,5
2020,Febrero,Francisco Morazán,San Miguelito,1599.4,3
2020,Febrero,Francisco Morazán,Santa Lucia,1461.06,5
2020,Febrero,Francisco Morazán,Vallecillo,1278.15,2
2020,Febrero,Francisco Morazán,El Porvenir,1125.72,2
2020,Febrero,Francisco Morazán,Curaren,840,1
2020,Febrero,Francisco Morazán,Lepaterique,582.38,3
2020,Febrero,Francisco Morazán,Cedros,539,2
2020,Febrero,Francisco Morazán,Santa Ana,232.96,4
