"GID_1","NAME_1","GID_2","NAME_2","lon","lat"
"HND.7_1","El Paraíso","HND.7.10_1","San Antonio de Flores",-86.8418005372894,13.7093016021212
"HND.7_1","El Paraíso","HND.7.11_1","San Lucas",-86.9542483792498,13.7405440220847
"HND.7_1","El Paraíso","HND.7.12_1","San Matías",-86.6580290671686,13.9483419799631
"HND.7_1","El Paraíso","HND.7.13_1","Soledad",-87.1470578962943,13.6085825789797
"HND.7_1","El Paraíso","HND.7.14_1","Teupasenti",-86.6915119638874,14.2843271405315
"HND.7_1","El Paraíso","HND.7.15_1","Texiguat",-87.038852771013,13.6620862769672
"HND.7_1","El Paraíso","HND.7.16_1","Trojes",-85.8548320778676,14.0600802694792
"HND.7_1","El Paraíso","HND.7.17_1","Vado Ancho",-86.9524177539979,13.6336154322508
"HND.7_1","El Paraíso","HND.7.18_1","Yauyupe",-87.0869581307455,13.7478300167613
"HND.7_1","El Paraíso","HND.7.19_1","Yuscarán",-86.8327503318964,13.9462205060936
"HND.8_1","Francisco Morazán","HND.8.1_1","Alubarén",-87.4774247480019,13.7873122425639
"HND.8_1","Francisco Morazán","HND.8.2_1","Cedros",-87.2130040444594,14.5104869310225
"HND.8_1","Francisco Morazán","HND.8.3_1","Curarén",-87.5737589840946,13.8272333218765
"HND.8_1","Francisco Morazán","HND.8.4_1","Distrito Central",-87.2596020598258,14.1690297429769
"HND.8_1","Francisco Morazán","HND.8.5_1","El Porvenir",-87.2420576747416,14.6998885040707
"HND.8_1","Francisco Morazán","HND.8.6_1","Guaimaca",-86.8815636595654,14.5033253848788
"HND.8_1","Francisco Morazán","HND.8.7_1","La Libertad",-87.5033217129627,13.7077226212359
"HND.8_1","Francisco Morazán","HND.8.8_1","La Venta",-87.331704354805,13.7251416131469
"HND.8_1","Francisco Morazán","HND.8.9_1","Lepaterique",-87.5045855670958,14.0423934077659
"HND.8_1","Francisco Morazán","HND.8.10_1","Maraita",-87.0605879660992,13.8608884025724
"HND.8_1","Francisco Morazán","HND.8.11_1","Marale",-87.1074931908742,14.9277412726306
"HND.8_1","Francisco Morazán","HND.8.12_1","Nueva Armenia",-87.1657675092916,13.7431829584794
"HND.8_1","Francisco Morazán","HND.8.13_1","Ojojona",-87.3441194489854,13.9267749761603
"HND.8_1","Francisco Morazán","HND.8.14_1","Orica",-86.9594006709208,14.7608452819382
"HND.8_1","Francisco Morazán","HND.8.15_1","Reitoca",-87.4346557758706,13.8516022177906
"HND.8_1","Francisco Morazán","HND.8.16_1","Sabanagrande",-87.2647761800303,13.7928078454509
"HND.8_1","Francisco Morazán","HND.8.17_1","San Antonio de Oriente",-86.9968081581863,14.0252853731428
