codDepto,codMun,ADM1_ES,ADM2_ES,T_TL,lon,lat
16,3,Santa Barbara,Atima,21752,-88.487636991733,14.8986973564122
16,4,Santa Barbara,Azacualpa,26609,-88.5775307163277,15.3542817168489
16,5,Santa Barbara,Ceguaca,6067,-88.1945789013645,14.8039181230158
16,8,Santa Barbara,Chinda,5330,-88.1565240413231,15.110873106264
16,6,Santa Barbara,Concepcion del Norte,10033,-88.139162458997,15.1801325829409
16,7,Santa Barbara,Concepcion del Sur,5477,-88.1415706872505,14.8036038647719
16,9,Santa Barbara,El Nispero,9917,-88.3273010847308,14.7582717656362
16,10,Santa Barbara,Gualala,5749,-88.1756263414232,14.9834057601867
16,11,Santa Barbara,Ilama,9298,-88.1168385044265,15.0339387632338
16,27,Santa Barbara,Las Vegas,28184,-88.0533227989989,14.851556788486
16,12,Santa Barbara,Macuelizo,40229,-88.5719117084874,15.2141736770573
16,13,Santa Barbara,Naranjito,13960,-88.6160660113847,14.9549663182783
16,28,Santa Barbara,Nueva Frontera,14217,-88.6691404538892,15.2614525969664
16,14,Santa Barbara,Nuevo Celilac,8240,-88.3665360365764,14.9590697589644
16,15,Santa Barbara,Petoa,13302,-88.2280553282003,15.254438288149
16,16,Santa Barbara,Proteccion,18510,-88.6112826072042,15.0606854736544
16,17,Santa Barbara,Quimistan,67697,-88.3590124755836,15.3986209544558
16,18,Santa Barbara,San Francisco de Ojuera,8660,-88.2184449557251,14.6870083970448
16,19,Santa Barbara,San Jose de Colinas,20161,-88.3212659619586,15.0489896932342
16,20,Santa Barbara,San Luis,25937,-88.4708788896991,15.0896913235028
16,21,Santa Barbara,San Marcos,16718,-88.4004781957023,15.2424694220979
16,22,Santa Barbara,San Nicolas,16991,-88.3613202141149,14.8993957537528
16,23,Santa Barbara,San Pedro Zacapa,11297,-88.0865565208774,14.7287862021948
16,24,Santa Barbara,San Vicente Centenario,3893,-88.2940855827605,14.8714579334174
16,1,Santa Barbara,Santa Barbara,50524,-88.1720093152854,14.9035765180496
16,25,Santa Barbara,Santa Rita,4154,-88.2636031632076,14.7390396502833
16,26,Santa Barbara,Trinidad,22103,-88.2568402094417,15.1372724468295
17,2,Valle,Alianza,7661,-87.710208536391,13.4439968262267
17,3,Valle,Amapala,15361,-87.6191329509532,13.3234700885078
17,4,Valle,Aramecina,7977,-87.6943484936432,13.7244548063376
17,5,Valle,Caridad,4127,-87.6909057156118,13.8099268483145
17,6,Valle,Goascoran,14894,-87.7161154053751,13.5872504229645
17,7,Valle,Langue,22047,-87.6334116391046,13.658340316953
17,1,Valle,Nacaome,64652,-87.5282496761034,13.5183432378113
17,8,Valle,San Francisco de Coray,10335,-87.5507599045123,13.6725878273876
17,9,Valle,San Lorenzo,51601,-87.4193762593365,13.4374006850847
18,2,Yoro,Arenal,6095,-86.8508079609586,15.3496464490912
18,3,Yoro,El Negrito,50968,-87.7092008828999,15.4080252398871
18,4,Yoro,El Progreso,205823,-87.8060957552311,15.4237110915922
18,5,Yoro,Jocon,9750,-86.9867080122741,15.2899465780527
18,6,Yoro,Morazan,52151,-87.5774240736194,15.3315491410611
18,7,Yoro,Olanchito,126249,-86.6750149686977,15.4518538406451
18,8,Yoro,Santa Rita,21640,-87.8181244972704,15.1821806976158
18,9,Yoro,Sulaco,21258,-87.3090174103486,14.9593285925362
18,10,Yoro,Victoria,39684,-87.583562904634,15.0746129370733
18,11,Yoro,Yorito,25011,-87.3340899044678,15.0571939246395
18,1,Yoro,Yoro,105102,-87.250428644944,15.2286798565288
