Year,codDeptoNac,codMunNac,codDepto,codMun,in_city,capital,sps,other_main,N,USD
2020,1,3,5,7,0,0,0,0,2,164
2020,1,3,2,5,0,0,0,0,117,134195.13
2020,1,3,9,1,0,0,0,1,2,204.69
2020,1,3,8,27,0,0,0,0,1,539
2020,1,3,4,21,0,0,0,0,3,2011.44
2020,1,3,14,16,0,0,0,0,2,6140
2020,1,3,18,1,0,0,0,1,43,25493.91
2020,1,3,12,8,0,0,0,0,2,1703
2020,1,3,14,15,0,0,0,0,1,100
2020,1,3,18,10,0,0,0,0,3,2197.73
2020,1,3,18,7,0,0,0,0,40,47648.54
2020,1,3,15,2,0,0,0,0,1,1033.03
2020,1,3,8,24,0,0,0,0,5,5480.18
2020,1,3,3,3,0,0,0,0,1,1100
2020,1,3,11,1,0,0,0,1,152,90414.45
2020,1,3,2,6,0,0,0,0,5,1137.06
2020,1,3,5,3,0,0,0,0,31,21598.27
2020,1,3,1,6,0,0,0,0,3,2489.92
2020,1,3,16,16,0,0,0,0,4,372.01
2020,1,3,16,18,0,0,0,0,14,8840.84
2020,1,3,1,1,0,0,0,1,4597,8768194.29
2020,1,3,7,1,0,0,0,1,11,10306.74
2020,1,3,2,1,0,0,0,1,443,1060461.2
2020,1,3,17,1,0,0,0,1,89,114716.75
2020,1,3,1,7,0,0,0,0,1265,1326870.84
2020,1,3,1,3,1,0,0,0,27,22689.64
2020,1,3,4,13,0,0,0,0,23,20786.24
2020,1,3,15,17,0,0,0,0,3,5860.89
2020,1,3,15,5,0,0,0,0,1,655
2020,1,3,2,2,0,0,0,0,1,41
2020,1,3,1,2,0,0,0,0,8,1748.98
2020,1,3,15,1,0,0,0,1,53,44369.63
2020,1,3,14,7,0,0,0,0,1,50
2020,1,3,12,1,0,0,0,1,2,1147
2020,1,3,4,6,0,0,0,0,7,2279.52
2020,1,3,4,1,0,0,0,1,46,67008.45
2020,1,3,1,8,0,0,0,0,7,7499.27
2020,1,3,17,3,0,0,0,0,1,205
2020,1,3,16,19,0,0,0,0,3,285
2020,1,3,5,11,0,0,0,0,188,128141.49
2020,1,3,1,4,0,0,0,0,39,18951.96
2020,1,3,8,2,0,0,0,0,2,1460.78
2020,1,3,3,6,0,0,0,0,1,700
2020,1,3,3,21,0,0,0,0,5,6665.09
2020,1,3,16,1,0,0,0,1,26,27324.7
2020,1,3,5,12,0,0,0,0,114,94037.78
2020,1,3,15,3,0,0,0,0,13,7161.25
2020,1,3,5,10,0,0,0,0,32,30815.3
2020,1,3,8,1,0,1,0,0,4044,7062209.51
2020,1,3,5,6,0,0,0,0,160,145304.86
2020,1,3,16,4,0,0,0,0,12,7015.36
2020,1,3,3,1,0,0,0,1,65,104252.89
2020,1,3,18,8,0,0,0,0,54,48821.44
2020,1,3,7,3,0,0,0,0,14,15089.23
2020,1,3,10,2,0,0,0,0,3,422
2020,1,3,3,18,0,0,0,0,40,36904.75
2020,1,3,16,13,0,0,0,0,1,49.9
2020,1,3,5,1,0,0,1,0,3236,4063260.08
2020,1,3,10,3,0,0,0,0,2,300
2020,1,3,13,11,0,0,0,0,1,1489
2020,1,3,1,5,0,0,0,0,1455,1491845.1
2020,1,3,7,19,0,0,0,0,1,350
2020,1,3,3,13,0,0,0,0,2,1241
2020,1,3,14,6,0,0,0,0,1,298
2020,1,3,17,2,0,0,0,0,1,289.99
2020,1,3,3,2,0,0,0,0,3,7897
2020,1,3,2,9,0,0,0,0,159,130571.08
2020,1,3,18,4,0,0,0,0,331,251200.61
2020,1,3,6,7,0,0,0,0,1,2000
2020,1,3,14,1,0,0,0,1,52,55271.34
2020,1,3,16,23,0,0,0,0,1,50
2020,1,3,2,10,0,0,0,0,36,14458.55
2020,1,3,11,2,0,0,0,0,11,5293.51
2020,1,3,13,13,0,0,0,0,1,50.06
2020,1,3,3,20,0,0,0,0,1,568
2020,1,4,3,2,0,0,0,0,2,2166
2020,1,4,2,4,0,0,0,0,1,1497
2020,1,4,1,1,0,0,0,1,6982,10363070.01
2020,1,4,18,4,0,0,0,0,172,206078.19
2020,1,4,13,1,0,0,0,1,8,6554.04
2020,1,4,15,19,0,0,0,0,1,90
2020,1,4,14,6,0,0,0,0,2,178
2020,1,4,16,16,0,0,0,0,3,624.02
2020,1,4,6,7,0,0,0,0,1,155.92
2020,1,4,4,10,0,0,0,0,1,287
2020,1,4,9,1,0,0,0,1,1,9800
2020,1,4,8,2,0,0,0,0,1,50
2020,1,4,7,4,0,0,0,0,1,150
2020,1,4,14,3,0,0,0,0,2,696.98
2020,1,4,18,1,0,0,0,1,38,18465.33
2020,1,4,7,3,0,0,0,0,10,1658.39
2020,1,4,10,7,0,0,0,0,4,1917.99
2020,1,4,12,1,0,0,0,1,8,21291.96
2020,1,4,15,3,0,0,0,0,20,15055.98
2020,1,4,16,1,0,0,0,1,16,9764.75
2020,1,4,8,1,0,1,0,0,6931,11992446.32
2020,1,4,3,13,0,0,0,0,2,1135.35
2020,1,4,4,4,0,0,0,0,2,280.81
2020,1,4,2,5,0,0,0,0,654,558299.35
2020,1,4,5,10,0,0,0,0,24,14069.73
2020,1,4,10,2,0,0,0,0,4,2394.21
2020,1,4,13,11,0,0,0,0,1,946
2020,1,4,18,3,0,0,0,0,1,40
2020,1,4,4,21,0,0,0,0,11,5074.73
2020,1,4,17,9,0,0,0,0,6,4577.5
2020,1,4,2,2,0,0,0,0,7,4705.01
2020,1,4,14,16,0,0,0,0,2,2097
2020,1,4,1,5,0,0,0,0,167,158099.71
2020,1,4,10,6,0,0,0,0,1,31
2020,1,4,8,6,0,0,0,0,3,764.64
2020,1,4,15,5,0,0,0,0,3,3889.7
2020,1,4,12,8,0,0,0,0,3,580
2020,1,4,13,4,0,0,0,0,1,149.99
2020,1,4,5,11,0,0,0,0,158,96947.81
2020,1,4,3,1,0,0,0,1,91,141558.44
2020,1,4,2,7,0,0,0,0,2,1419.99
2020,1,4,5,12,0,0,0,0,48,29698.06
2020,1,4,17,2,0,0,0,0,1,1000
2020,1,4,2,3,0,0,0,0,8,2713.76
2020,1,4,5,6,0,0,0,0,95,60451.59
2020,1,4,1,3,0,0,0,0,5,3716.49
2020,1,4,3,18,0,0,0,0,35,29722.9
2020,1,4,10,1,0,0,0,1,353,460936.81
2020,1,4,2,9,0,0,0,0,296,195532.87
2020,1,4,4,1,0,0,0,1,68,79257.93
2020,1,4,10,3,0,0,0,0,1,900
2020,1,4,18,7,0,0,0,0,154,109737.31
2020,1,4,5,3,0,0,0,0,22,10006.54
2020,1,4,8,24,0,0,0,0,2,370
2020,1,4,1,4,1,0,0,0,1639,712880.05
2020,1,4,5,1,0,0,1,0,3934,4401255.22
2020,1,4,5,9,0,0,0,0,4,1054.07
2020,1,4,8,27,0,0,0,0,1,981
2020,1,4,15,1,0,0,0,1,51,42699.34
2020,1,4,3,19,0,0,0,0,2,185.03
2020,1,4,16,19,0,0,0,0,5,4225.07
2020,1,4,16,26,0,0,0,0,1,44.68
2020,1,4,14,13,0,0,0,0,2,1881.96
2020,1,4,2,8,0,0,0,0,309,261612.18
2020,1,4,2,6,0,0,0,0,87,27790.77
2020,1,4,8,3,0,0,0,0,1,490
2020,1,4,4,6,0,0,0,0,2,1054.13
2020,1,4,3,6,0,0,0,0,2,2220.05
2020,1,4,11,2,0,0,0,0,10,5930.38
2020,1,4,7,1,0,0,0,1,11,33936.96
2020,1,4,3,21,0,0,0,0,6,6290.62
2020,1,4,15,2,0,0,0,0,3,524
2020,1,4,16,18,0,0,0,0,23,16228.81
2020,1,4,13,13,0,0,0,0,1,110
2020,1,4,1,6,0,0,0,0,1,2269.98
2020,1,4,4,13,0,0,0,0,33,19624.91
2020,1,4,18,8,0,0,0,0,25,22425.61
2020,1,4,6,1,0,0,0,1,24,18162.43
2020,1,4,15,17,0,0,0,0,8,4617.54
2020,1,4,1,2,0,0,0,0,16,10332.41
2020,1,4,18,6,0,0,0,0,23,17114.27
2020,1,4,18,10,0,0,0,0,2,1534.81
2020,1,4,2,1,0,0,0,1,1523,2907606.1
2020,1,4,7,19,0,0,0,0,1,139.98
2020,1,4,5,7,0,0,0,0,3,600
2020,1,4,14,1,0,0,0,1,58,65788.84
2020,1,4,11,1,0,0,0,1,324,211035.33
2020,1,4,2,10,0,0,0,0,61,38013.92
2020,1,4,17,1,0,0,0,1,173,236198.07
2020,1,4,5,2,0,0,0,0,166,122144.5
2020,1,4,1,7,0,0,0,0,122,109587.02
2020,1,5,7,1,0,0,0,1,11,17701.63
2020,1,5,3,19,0,0,0,0,1,300
2020,1,5,16,26,0,0,0,0,3,486.01
2020,1,5,12,8,0,0,0,0,8,4079.01
2020,1,5,16,14,0,0,0,0,2,600
2020,1,5,14,16,0,0,0,0,2,1322.99
2020,1,5,6,1,0,0,0,1,30,11240.77
2020,1,5,2,5,0,0,0,0,89,67234.55
2020,1,5,14,4,0,0,0,0,2,969.7
2020,1,5,2,9,0,0,0,0,156,100432.02
2020,1,5,4,13,0,0,0,0,26,8798.43
2020,1,5,6,7,0,0,0,0,3,2808.02
2020,1,5,5,6,0,0,0,0,139,115652.85
2020,1,5,4,5,0,0,0,0,2,1779
2020,1,5,8,19,0,0,0,0,1,1491.2
2020,1,5,16,21,0,0,0,0,1,50
2020,1,5,5,9,0,0,0,0,7,1350.1
2020,1,5,13,13,0,0,0,0,1,149
2020,1,5,16,4,0,0,0,0,16,8480.26
2020,1,5,10,2,0,0,0,0,4,430
2020,1,5,18,1,0,0,0,1,42,30847.79
2020,1,5,5,11,0,0,0,0,204,133236.22
2020,1,5,11,1,0,0,0,1,212,152028.59
2020,1,5,1,7,0,0,0,0,301,222353.4
2020,1,5,13,1,0,0,0,1,18,20939.93
2020,1,5,7,3,0,0,0,0,11,3621.69
2020,1,5,3,21,0,0,0,0,6,1579.92
2020,1,5,5,3,0,0,0,0,40,22937.96
2020,1,5,14,6,0,0,0,0,1,497
2020,1,5,16,20,0,0,0,0,1,100
2020,1,5,1,1,0,0,0,1,5565,10576689.27
2020,1,5,5,12,0,0,0,0,70,50348.77
2020,1,5,16,18,0,0,0,0,40,49176.31
2020,1,5,15,5,0,0,0,0,5,13663.46
2020,1,5,8,1,0,1,0,0,4548,7900064.23
2020,1,5,1,6,0,0,0,0,4,2576.68
2020,1,5,2,3,0,0,0,0,2,714.61
2020,1,5,3,20,0,0,0,0,2,491
2020,1,5,15,8,0,0,0,0,1,270
2020,1,5,10,6,0,0,0,0,1,41
2020,1,5,15,17,0,0,0,0,4,1539.03
2020,1,5,15,2,0,0,0,0,2,283.33
2020,1,5,11,2,0,0,0,0,10,9407.96
2020,1,5,17,2,0,0,0,0,1,612.8
2020,1,5,15,21,0,0,0,0,1,1000
2020,1,5,5,10,0,0,0,0,32,19681.16
2020,1,5,9,1,0,0,0,1,5,13987
2020,1,5,1,5,1,0,0,0,3493,3463196.61
2020,1,5,2,6,0,0,0,0,3,2650.06
2020,1,5,17,9,0,0,0,0,9,3768.17
2020,1,5,2,10,0,0,0,0,23,10960.75
2020,1,5,2,2,0,0,0,0,4,580
2020,1,5,12,1,0,0,0,1,8,4651.26
2020,1,5,8,24,0,0,0,0,1,931.7
2020,1,5,18,7,0,0,0,0,64,49280.6
2020,1,5,10,7,0,0,0,0,2,963
2020,1,5,18,8,0,0,0,0,32,34286.93
2020,1,5,5,5,0,0,0,0,2,30
2020,1,5,10,1,0,0,0,1,256,309491.32
2020,1,5,1,3,0,0,0,0,5,2939.62
2020,1,5,8,2,0,0,0,0,1,4620
2020,1,5,2,1,0,0,0,1,439,884588.62
2020,1,5,16,13,0,0,0,0,1,700.02
2020,1,5,4,1,0,0,0,1,66,113791.24
2020,1,5,17,3,0,0,0,0,1,141.06
2020,1,5,14,3,0,0,0,0,1,40
2020,1,5,3,1,0,0,0,1,81,199137.69
2020,1,5,2,8,0,0,0,0,126,132300.31
2020,1,5,4,4,0,0,0,0,3,3207.53
2020,1,5,18,6,0,0,0,0,37,31904.97
2020,1,5,15,3,0,0,0,0,21,23612.73
2020,1,5,3,18,0,0,0,0,42,34290.68
2020,1,5,14,1,0,0,0,1,53,65747.98
2020,1,5,14,13,0,0,0,0,5,6366
2020,1,5,6,15,0,0,0,0,4,1204.77
2020,1,5,15,1,0,0,0,1,79,99498.41
2020,1,5,18,4,0,0,0,0,226,209824.21
2020,1,5,15,19,0,0,0,0,1,688
2020,1,5,8,6,0,0,0,0,4,1018.95
2020,1,5,3,6,0,0,0,0,1,95
2020,1,5,5,1,0,0,1,0,3138,3053663.91
2020,1,5,16,19,0,0,0,0,1,170
2020,1,5,5,2,0,0,0,0,261,207965.3
2020,1,5,1,4,0,0,0,0,45,21427.16
2020,1,5,1,2,0,0,0,0,6,2524.16
2020,1,5,17,1,0,0,0,1,94,167199.57
2020,1,5,16,1,0,0,0,1,30,19450.46
2020,1,5,4,6,0,0,0,0,5,3249.17
2020,1,6,15,1,0,0,0,1,29,40281.22
2020,1,6,1,6,1,0,0,0,15,6072.4
2020,1,6,17,1,0,0,0,1,30,32410.39
2020,1,6,1,7,0,0,0,0,79,62151.18
2020,1,6,5,9,0,0,0,0,2,1506.1
2020,1,6,14,1,0,0,0,1,23,43802.59
2020,1,6,5,11,0,0,0,0,57,24486.16
2020,1,6,9,1,0,0,0,1,1,82.59
2020,1,6,16,1,0,0,0,1,8,3737.96
2020,1,6,8,24,0,0,0,0,5,2966.75
2020,1,6,1,1,0,0,0,1,3418,6207382.25
2020,1,6,3,20,0,0,0,0,1,150
2020,1,6,4,21,0,0,0,0,1,75
2020,1,6,16,4,0,0,0,0,1,212
2020,1,6,7,3,0,0,0,0,9,3608.96
2020,1,6,12,1,0,0,0,1,2,1947.48
2020,1,6,5,2,0,0,0,0,67,46783.16
2020,1,6,7,1,0,0,0,1,3,3113
2020,1,6,3,19,0,0,0,0,4,3586.7
2020,1,6,11,1,0,0,0,1,97,53502.14
2020,1,6,10,1,0,0,0,1,127,80196.77
2020,1,6,5,6,0,0,0,0,52,32563
2020,1,6,4,1,0,0,0,1,19,9421.53
2020,1,6,18,7,0,0,0,0,25,17475.48
2020,1,6,5,12,0,0,0,0,23,15461.4
2020,1,6,13,1,0,0,0,1,7,4804.81
2020,1,6,18,10,0,0,0,0,3,3047.03
2020,1,6,2,5,0,0,0,0,19,13790.29
2020,1,6,15,2,0,0,0,0,1,102
2020,1,6,1,5,0,0,0,0,475,225014.59
2020,1,6,10,7,0,0,0,0,1,500
2020,1,6,2,8,0,0,0,0,30,16173.65
2020,1,6,16,18,0,0,0,0,5,2898.2
2020,1,6,15,3,0,0,0,0,5,11278.16
2020,1,6,1,3,0,0,0,0,1,100
2020,1,6,1,2,0,0,0,0,5,4182.22
2020,1,6,6,1,0,0,0,1,15,22616.27
2020,1,6,12,8,0,0,0,0,1,1980.88
2020,1,6,14,13,0,0,0,0,4,1417.17
2020,1,6,2,2,0,0,0,0,1,1080.31
